Country,Date,Currency(USD)*1000
Singapore,2021-04-26,754.261577915221
Singapore,2021-04-27,754.31847325941
Singapore,2021-04-28,754.5461404964914
Singapore,2021-04-29,753.9203860072377
Singapore,2021-04-30,751.9927808693036
Singapore,2021-05-03,752.1058965102287
Singapore,2021-05-04,747.887218607434
Singapore,2021-05-05,748.8953793155097
Singapore,2021-05-06,749.512816669165
Singapore,2021-05-07,755.4581853894387
Singapore,2021-05-10,755.6865412227008
Singapore,2021-05-11,754.6600256584409
Singapore,2021-05-12,749.9625018749064
Singapore,2021-05-13,749.6813854112003
Singapore,2021-05-14,750.41272699985
Singapore,2021-05-17,748.8953793155097
Singapore,2021-05-18,751.5971439308531
Singapore,2021-05-19,750.976269149895
Singapore,2021-05-20,751.4277126540427
Singapore,2021-05-21,750.9198768491402
Singapore,2021-05-24,752.3888345496953
Singapore,2021-05-25,753.8067239559776
Singapore,2021-05-26,755.0018875047188
Singapore,2021-05-27,754.9448890231013
Singapore,2021-05-28,756.0864962951762
Singapore,2021-05-31,756.4010438334406
Singapore,2021-06-01,756.7158531971245
Singapore,2021-06-02,756.3724377883669
Singapore,2021-06-03,753.1254707034192
Singapore,2021-06-04,755.2870090634441
Singapore,2021-06-07,756.0864962951762
Singapore,2021-06-08,755.2870090634441
Singapore,2021-06-09,754.9448890231013
Singapore,2021-06-10,755.3440592189742
Singapore,2021-06-11,753.9203860072377
Singapore,2021-06-14,753.8635506973238
Singapore,2021-06-15,752.8419784687194
Singapore,2021-06-16,754.0909433677701
Singapore,2021-06-17,744.7680047665153
Singapore,2021-06-18,743.7709185570844
Singapore,2021-06-21,744.1029838529653
Singapore,2021-06-22,743.1076763022962
Singapore,2021-06-23,743.9369141496801
Singapore,2021-06-24,744.213738185607
Singapore,2021-06-25,745.1009611802398
Singapore,2021-06-28,745.0454477723141
Singapore,2021-06-29,743.3286255853712
Singapore,2021-06-30,743.3286255853712
Singapore,2021-07-01,741.7847340701727
Singapore,2021-07-02,741.7297136923304
Singapore,2021-07-05,741.8397626112759
Singapore,2021-07-06,741.9498441905326
Singapore,2021-07-07,741.6747014759326
Singapore,2021-07-08,739.3715341959335
Singapore,2021-07-09,739.6449704142012
Singapore,2021-07-12,739.863865048831
Singapore,2021-07-13,738.6615452799527
Singapore,2021-07-14,738.3888355608062
Singapore,2021-07-15,738.27980804725
Singapore,2021-07-16,737.4631268436577
Singapore,2021-07-19,733.7833871441151
